Scientific Colour Map Categorical Palette
bilbao 100 scrambled Swatches
248 248 248	bilbao-1 #F8F8F8
 77   0   1	bilbao-251 #4D0001
169 133 101	bilbao-126 #A98565
146  73  70	bilbao-189 #924946
192 186 162	bilbao-63 #C0BAA2
114  38  37	bilbao-220 #722625
161 105  89	bilbao-157 #A16959
179 162 121	bilbao-95 #B3A279
211 210 205	bilbao-32 #D3D2CD
186 176 141	bilbao-79 #BAB08D
156  90  81	bilbao-173 #9C5A51
173 146 108	bilbao-111 #AD926C
 96  21  22	bilbao-235 #601516
165 119  94	bilbao-142 #A5775E
131  56  55	bilbao-204 #833837
200 196 184	bilbao-47 #C8C4B8
228 228 227	bilbao-17 #E4E4E3
196 191 173	bilbao-55 #C4BFAD
159  98  85	bilbao-165 #9F6255
189 181 152	bilbao-71 #BDB598
 86  10  13	bilbao-243 #560A0D
238 238 238	bilbao-9 #EEEEEE
176 154 113	bilbao-103 #B09A71
151  82  76	bilbao-181 #97524C
123  47  46	bilbao-212 #7B2F2E
183 170 131	bilbao-87 #B7AA83
167 126  98	bilbao-134 #A77E62
219 218 216	bilbao-25 #DBDAD8
139  65  63	bilbao-196 #8B413F
163 112  91	bilbao-150 #A3705B
205 202 194	bilbao-40 #CDCAC2
171 140 104	bilbao-118 #AB8C68
105  30  30	bilbao-227 #691E1E
 91  16  18	bilbao-239 #5B1012
243 243 243	bilbao-5 #F3F3F3
101  25  26	bilbao-231 #65191A
233 233 232	bilbao-13 #E9E9E8
 81   5   8	bilbao-247 #510508
185 173 136	bilbao-83 #B9AD88
168 129  99	bilbao-130 #A88163
136  60  59	bilbao-200 #883C3B
127  51  50	bilbao-208 #7F3332
194 188 167	bilbao-59 #C2BCA7
164 115  93	bilbao-146 #A4735D
118  42  42	bilbao-216 #762A2A
149  78  73	bilbao-185 #954E49
208 206 199	bilbao-36 #D0CEC7
191 184 157	bilbao-67 #BFB89D
160 102  87	bilbao-161 #A06657
223 223 221	bilbao-21 #DFDFDD
198 194 178	bilbao-51 #C6C2B2
175 150 110	bilbao-107 #AF966E
157  94  83	bilbao-169 #9D5E53
154  86  79	bilbao-177 #9A564F
188 179 146	bilbao-75 #BCB392
170 136 102	bilbao-122 #AA8866
166 122  96	bilbao-138 #A67A60
178 158 117	bilbao-99 #B29E75
181 166 126	bilbao-91 #B5A67E
214 213 210	bilbao-29 #D6D5D2
162 108  90	bilbao-154 #A26C5A
202 199 188	bilbao-44 #CAC7BC
110  34  34	bilbao-223 #6E2222
142  69  66	bilbao-193 #8E4542
172 143 105	bilbao-115 #AC8F69
178 160 119	bilbao-97 #B2A077
190 183 154	bilbao-69 #BEB79A
116  40  39	bilbao-218 #742827
150  80  75	bilbao-183 #96504B
173 144 106	bilbao-113 #AD906A
155  88  80	bilbao-175 #9B5850
 89  13  16	bilbao-241 #590D10
206 204 196	bilbao-38 #CECCC4
193 187 165	bilbao-61 #C1BBA5
161 104  88	bilbao-159 #A16858
133  58  57	bilbao-202 #853A39
120  44  44	bilbao-214 #782C2C
180 164 123	bilbao-93 #B4A47B
221 220 218	bilbao-23 #DDDCDA
231 230 230	bilbao-15 #E7E6E6
182 168 128	bilbao-89 #B6A880
129  54  52	bilbao-206 #813634
197 192 175	bilbao-53 #C5C0AF
144  71  68	bilbao-191 #904744
163 110  91	bilbao-152 #A36E5B
246 246 246	bilbao-3 #F6F6F6
138  63  61	bilbao-198 #8A3F3D
 93  18  20	bilbao-237 #5D1214
170 134 101	bilbao-124 #AA8665
125  49  48	bilbao-210 #7D3130
210 208 202	bilbao-34 #D2D0CA
157  92  82	bilbao-171 #9D5C52
 98  23  24	bilbao-233 #621718
153  84  77	bilbao-179 #99544D
192 185 159	bilbao-65 #C0B99F
199 195 181	bilbao-49 #C7C3B5
169 131 100	bilbao-128 #A98364
177 156 115	bilbao-101 #B19C73
174 148 109	bilbao-109 #AE946D
 79   3   4	bilbao-249 #4F0304
