Scientific Colour Map Categorical Palette
grayC 100 scrambled Swatches
249 249 249	grayC-1 #F9F9F9
  6   6   6	grayC-247 #060606
118 118 118	grayC-124 #767676
181 181 181	grayC-63 #B5B5B5
 61  61  61	grayC-185 #3D3D3D
 35  35  35	grayC-216 #232323
215 215 215	grayC-32 #D7D7D7
 90  90  90	grayC-154 #5A5A5A
150 150 150	grayC-93 #969696
134 134 134	grayC-108 #868686
 47  47  47	grayC-201 #2F2F2F
231 231 231	grayC-17 #E7E7E7
 22  22  22	grayC-232 #161616
197 197 197	grayC-48 #C5C5C5
104 104 104	grayC-139 #686868
 75  75  75	grayC-170 #4B4B4B
165 165 165	grayC-78 #A5A5A5
 54  54  54	grayC-193 #363636
240 240 240	grayC-9 #F0F0F0
 29  29  29	grayC-224 #1D1D1D
126 126 126	grayC-116 #7E7E7E
 82  82  82	grayC-162 #525252
206 206 206	grayC-40 #CECECE
 67  67  67	grayC-178 #434343
 42  42  42	grayC-208 #2A2A2A
 97  97  97	grayC-146 #616161
190 190 190	grayC-55 #BEBEBE
157 157 157	grayC-86 #9D9D9D
224 224 224	grayC-24 #E0E0E0
143 143 143	grayC-100 #8F8F8F
174 174 174	grayC-70 #AEAEAE
111 111 111	grayC-132 #6F6F6F
 15  15  15	grayC-240 #0F0F0F
114 114 114	grayC-128 #727272
 26  26  26	grayC-228 #1A1A1A
 38  38  38	grayC-212 #262626
122 122 122	grayC-120 #7A7A7A
 32  32  32	grayC-220 #202020
245 245 245	grayC-5 #F5F5F5
 71  71  71	grayC-174 #474747
169 169 169	grayC-74 #A9A9A9
202 202 202	grayC-44 #CACACA
 58  58  58	grayC-189 #3A3A3A
161 161 161	grayC-82 #A1A1A1
219 219 219	grayC-28 #DBDBDB
236 236 236	grayC-13 #ECECEC
 19  19  19	grayC-236 #131313
 86  86  86	grayC-158 #565656
 51  51  51	grayC-197 #333333
 78  78  78	grayC-166 #4E4E4E
130 130 130	grayC-112 #828282
 93  93  93	grayC-150 #5D5D5D
138 138 138	grayC-104 #8A8A8A
210 210 210	grayC-36 #D2D2D2
185 185 185	grayC-59 #B9B9B9
 64  64  64	grayC-182 #404040
227 227 227	grayC-21 #E3E3E3
100 100 100	grayC-143 #646464
147 147 147	grayC-96 #939393
107 107 107	grayC-136 #6B6B6B
193 193 193	grayC-52 #C1C1C1
 45  45  45	grayC-204 #2D2D2D
153 153 153	grayC-90 #999999
178 178 178	grayC-66 #B2B2B2
 10  10  10	grayC-244 #0A0A0A
132 132 132	grayC-110 #848484
 80  80  80	grayC-164 #505050
172 172 172	grayC-72 #ACACAC
 21  21  21	grayC-234 #151515
 73  73  73	grayC-172 #494949
199 199 199	grayC-46 #C7C7C7
109 109 109	grayC-134 #6D6D6D
 33  33  33	grayC-218 #212121
113 113 113	grayC-130 #717171
 60  60  60	grayC-187 #3C3C3C
 30  30  30	grayC-222 #1E1E1E
 43  43  43	grayC-206 #2B2B2B
221 221 221	grayC-26 #DDDDDD
208 208 208	grayC-38 #D0D0D0
213 213 213	grayC-34 #D5D5D5
243 243 243	grayC-7 #F3F3F3
247 247 247	grayC-3 #F7F7F7
 91  91  91	grayC-152 #5B5B5B
 95  95  95	grayC-148 #5F5F5F
 24  24  24	grayC-230 #181818
 69  69  69	grayC-176 #454545
167 167 167	grayC-76 #A7A7A7
128 128 128	grayC-114 #808080
176 176 176	grayC-68 #B0B0B0
 66  66  66	grayC-180 #424242
217 217 217	grayC-30 #D9D9D9
 56  56  56	grayC-191 #383838
 49  49  49	grayC-199 #313131
 77  77  77	grayC-168 #4D4D4D
159 159 159	grayC-84 #9F9F9F
116 116 116	grayC-126 #747474
140 140 140	grayC-102 #8C8C8C
234 234 234	grayC-15 #EAEAEA
 37  37  37	grayC-214 #252525
 88  88  88	grayC-156 #585858
