Scientific Colour Map Categorical Palette
imola 100 scrambled Swatches
 26  51 179	imola-1 #1A33B3
255 255 102	imola-256 #FFFF66
 84 134 127	imola-129 #54867F
 48  94 157	imola-65 #305E9D
145 195 111	imola-192 #91C36F
 37  73 168	imola-33 #2549A8
 63 113 142	imola-97 #3F718E
189 230 103	imola-224 #BDE667
113 164 119	imola-161 #71A477
 43  83 162	imola-49 #2B53A2
 32  62 173	imola-17 #203EAD
163 213 107	imola-208 #A3D56B
 55 104 150	imola-81 #376896
 72 123 134	imola-113 #487B86
221 244 102	imola-240 #DDF466
 98 148 122	imola-145 #62947A
128 179 115	imola-176 #80B373
205 237 102	imola-232 #CDED66
175 222 105	imola-216 #AFDE69
 40  78 165	imola-41 #284EA5
 78 128 130	imola-121 #4E8082
136 187 113	imola-184 #88BB71
 35  68 170	imola-25 #2344AA
105 156 121	imola-153 #699C79
 59 108 146	imola-89 #3B6C92
 91 141 125	imola-137 #5B8D7D
 45  89 160	imola-57 #2D59A0
 29  57 176	imola-9 #1D39B0
 68 118 138	imola-105 #44768A
153 204 109	imola-200 #99CC6D
238 249 102	imola-248 #EEF966
 51  99 154	imola-73 #33639A
120 171 117	imola-168 #78AB75
158 208 108	imola-204 #9ED06C
 53 101 152	imola-77 #356598
124 175 116	imola-172 #7CAF74
 50  96 155	imola-69 #32609B
230 246 102	imola-244 #E6F666
 47  91 158	imola-61 #2F5B9E
 39  76 166	imola-37 #274CA6
140 191 112	imola-188 #8CBF70
 75 125 132	imola-117 #4B7D84
109 160 120	imola-157 #6DA078
247 252 102	imola-252 #F7FC66
 57 106 148	imola-85 #396A94
 31  60 174	imola-13 #1F3CAE
169 217 106	imola-212 #A9D96A
 65 115 140	imola-101 #41738C
 94 145 123	imola-141 #5E917B
 36  70 169	imola-29 #2446A9
 33  65 172	imola-21 #2141AC
 41  81 164	imola-45 #2951A4
181 226 104	imola-220 #B5E268
 70 120 136	imola-109 #467888
 81 131 128	imola-125 #518380
132 183 114	imola-180 #84B772
196 234 103	imola-228 #C4EA67
149 200 110	imola-196 #95C86E
 61 111 144	imola-93 #3D6F90
 28  54 177	imola-5 #1C36B1
102 152 122	imola-149 #66987A
 44  86 161	imola-53 #2C56A1
213 240 102	imola-236 #D5F066
 87 138 126	imola-133 #578A7E
117 168 118	imola-165 #75A876
142 193 111	imola-190 #8EC16F
 39  77 166	imola-39 #274DA6
 71 121 135	imola-111 #477987
172 219 105	imola-214 #ACDB69
 60 110 145	imola-91 #3C6E91
 33  64 172	imola-19 #2140AC
 96 146 123	imola-143 #60927B
 50  98 155	imola-71 #32629B
 38  74 167	imola-35 #264AA7
134 185 113	imola-182 #86B971
 82 133 128	imola-127 #528580
 43  85 162	imola-51 #2B55A2
 35  69 170	imola-27 #2345AA
 47  93 158	imola-63 #2F5D9E
 41  80 164	imola-43 #2950A4
 64 114 141	imola-99 #40728D
234 248 102	imola-246 #EAF866
103 154 121	imola-151 #679A79
 54 103 151	imola-79 #366797
 86 136 126	imola-131 #56887E
138 189 112	imola-186 #8ABD70
111 162 119	imola-159 #6FA277
122 173 116	imola-170 #7AAD74
200 235 103	imola-230 #C8EB67
 66 116 139	imola-103 #42748B
161 211 107	imola-206 #A1D36B
 37  72 168	imola-31 #2548A8
 30  58 175	imola-11 #1E3AAF
 62 112 143	imola-95 #3E708F
185 228 104	imola-222 #B9E468
 74 124 133	imola-115 #4A7C85
251 254 102	imola-254 #FBFE66
115 166 118	imola-163 #73A676
 58 107 147	imola-87 #3A6B93
217 242 102	imola-238 #D9F266
