Scientific Colour Map Categorical Palette
lajolla 100 scrambled Swatches
255 255 204	lajolla-1 #FFFFCC
 26  26   1	lajolla-256 #1A1A01
222 116  79	lajolla-129 #DE744F
242 195  96	lajolla-65 #F2C360
127  59  52	lajolla-192 #7F3B34
 73  42  27	lajolla-224 #492A1B
251 233 146	lajolla-33 #FBE992
233 155  83	lajolla-97 #E99B53
184  79  71	lajolla-160 #B84F47
229 136  81	lajolla-113 #E58851
156  68  63	lajolla-176 #9C443F
 99  51  40	lajolla-208 #633328
247 216 117	lajolla-49 #F7D875
253 245 175	lajolla-17 #FDF5AF
 48  34  16	lajolla-240 #302210
237 174  86	lajolla-81 #EDAE56
207  95  76	lajolla-145 #CF5F4C
 86  47  33	lajolla-216 #562F21
 60  38  21	lajolla-232 #3C2615
244 206 105	lajolla-57 #F4CE69
170  73  68	lajolla-168 #AA4944
239 184  89	lajolla-73 #EFB859
249 225 132	lajolla-41 #F9E184
252 239 161	lajolla-25 #FCEFA1
141  64  58	lajolla-184 #8D403A
226 126  80	lajolla-121 #E27E50
113  55  46	lajolla-200 #71372E
235 164  84	lajolla-89 #EBA454
254 250 190	lajolla-9 #FEFABE
216 106  78	lajolla-137 #D86A4E
231 145  82	lajolla-105 #E79152
 36  30   9	lajolla-248 #241E09
196  86  74	lajolla-153 #C4564A
250 229 139	lajolla-37 #FAE58B
148  66  61	lajolla-180 #94423D
224 121  80	lajolla-125 #E07950
212 101  77	lajolla-141 #D4654D
 92  49  36	lajolla-212 #5C3124
106  53  43	lajolla-204 #6A352B
230 141  81	lajolla-109 #E68D51
243 200 100	lajolla-61 #F3C864
253 242 168	lajolla-21 #FDF2A8
 54  36  19	lajolla-236 #362413
 31  28   5	lajolla-252 #1F1C05
 66  40  24	lajolla-228 #422818
202  91  75	lajolla-149 #CA5B4B
254 247 183	lajolla-13 #FEF7B7
251 236 154	lajolla-29 #FBEC9A
246 211 111	lajolla-53 #F6D36F
255 252 197	lajolla-5 #FFFCC5
134  62  55	lajolla-188 #863E37
241 189  92	lajolla-69 #F1BD5C
177  76  70	lajolla-164 #B14C46
120  57  49	lajolla-196 #783931
227 131  81	lajolla-117 #E38351
234 159  83	lajolla-93 #EA9F53
 79  44  30	lajolla-220 #4F2C1E
236 169  85	lajolla-85 #ECA955
238 179  87	lajolla-77 #EEB357
163  70  66	lajolla-172 #A34642
219 111  79	lajolla-133 #DB6F4F
 42  32  13	lajolla-244 #2A200D
232 150  82	lajolla-101 #E89652
248 221 124	lajolla-45 #F8DD7C
191  83  73	lajolla-156 #BF5349
116  56  48	lajolla-198 #743830
 96  50  38	lajolla-210 #603226
138  63  57	lajolla-186 #8A3F39
131  61  54	lajolla-190 #833D36
 39  31  11	lajolla-246 #271F0B
229 138  81	lajolla-111 #E58A51
123  58  51	lajolla-194 #7B3A33
234 157  83	lajolla-95 #EA9D53
 51  35  17	lajolla-238 #332311
255 254 200	lajolla-3 #FFFEC8
 28  27   3	lajolla-254 #1C1B03
221 114  79	lajolla-131 #DD724F
239 181  88	lajolla-75 #EFB558
223 119  79	lajolla-127 #DF774F
242 197  98	lajolla-63 #F2C562
250 231 143	lajolla-35 #FAE78F
181  77  70	lajolla-162 #B54D46
174  74  69	lajolla-166 #AE4A45
110  54  45	lajolla-202 #6E362D
238 176  87	lajolla-79 #EEB057
246 214 114	lajolla-51 #F6D672
237 171  85	lajolla-83 #EDAB55
240 187  91	lajolla-71 #F0BB5B
 57  37  20	lajolla-234 #392514
152  67  62	lajolla-178 #98433E
245 208 108	lajolla-55 #F5D06C
210  98  77	lajolla-143 #D2624D
145  65  60	lajolla-182 #91413C
 82  46  32	lajolla-218 #522E20
 69  41  26	lajolla-226 #45291A
225 124  80	lajolla-123 #E17C50
254 246 179	lajolla-15 #FEF6B3
249 227 135	lajolla-39 #F9E387
 76  43  29	lajolla-222 #4C2B1D
233 152  82	lajolla-99 #E99852
