Scientific Colour Map Categorical Palette
lapaz 100 scrambled Swatches
 26  12 100	lapaz-1 #1A0C64
254 242 243	lapaz-256 #FEF2F3
 92 140 163	lapaz-129 #5C8CA3
 45  83 147	lapaz-65 #2D5393
179 172 150	lapaz-192 #B3AC96
 36  50 126	lapaz-33 #24327E
234 206 185	lapaz-224 #EACEB9
 61 113 160	lapaz-97 #3D71A0
133 158 156	lapaz-160 #859E9C
 40  66 137	lapaz-49 #284289
155 164 150	lapaz-176 #9BA496
249 225 214	lapaz-240 #F9E1D6
 32  32 113	lapaz-17 #202071
208 186 160	lapaz-208 #D0BAA0
 75 128 163	lapaz-113 #4B80A3
 51  98 155	lapaz-81 #33629B
112 151 160	lapaz-145 #7097A0
144 161 153	lapaz-168 #90A199
252 234 229	lapaz-248 #FCEAE5
243 216 200	lapaz-232 #F3D8C8
222 195 171	lapaz-216 #DEC3AB
 29  23 107	lapaz-9 #1D176B
 56 106 158	lapaz-89 #386A9E
 42  75 142	lapaz-57 #2A4B8E
 38  58 132	lapaz-41 #263A84
 34  41 120	lapaz-25 #222978
167 168 149	lapaz-184 #A7A895
 83 134 164	lapaz-121 #5386A4
193 178 153	lapaz-200 #C1B299
 67 121 162	lapaz-105 #4379A2
 48  91 151	lapaz-73 #305B97
102 146 162	lapaz-137 #6692A2
122 154 158	lapaz-152 #7A9A9E
 71 124 163	lapaz-109 #477CA3
 43  79 145	lapaz-61 #2B4F91
 35  45 123	lapaz-29 #232D7B
 79 131 164	lapaz-117 #4F83A4
107 148 161	lapaz-141 #6B94A1
 53 102 156	lapaz-85 #35669C
186 175 151	lapaz-196 #BAAF97
 87 137 164	lapaz-125 #5789A4
 97 143 163	lapaz-133 #618FA3
228 201 178	lapaz-220 #E4C9B2
239 211 192	lapaz-228 #EFD3C0
200 182 156	lapaz-204 #C8B69C
173 170 149	lapaz-188 #ADAA95
 64 117 161	lapaz-101 #4075A1
127 156 157	lapaz-156 #7F9C9D
149 163 152	lapaz-172 #95A398
 30  28 110	lapaz-13 #1E1C6E
 39  62 135	lapaz-45 #273E87
161 166 150	lapaz-180 #A1A696
 41  71 140	lapaz-53 #29478C
246 221 207	lapaz-236 #F6DDCF
 37  54 129	lapaz-37 #253681
 28  18 104	lapaz-5 #1C1268
 49  94 153	lapaz-77 #315E99
138 160 154	lapaz-164 #8AA09A
253 238 236	lapaz-252 #FDEEEC
215 190 166	lapaz-212 #D7BEA6
 58 110 159	lapaz-93 #3A6E9F
 46  87 149	lapaz-69 #2E5795
 33  37 117	lapaz-21 #212575
251 230 221	lapaz-244 #FBE6DD
116 152 159	lapaz-148 #74989F
104 147 162	lapaz-139 #6893A2
 57 108 158	lapaz-91 #396C9E
164 167 149	lapaz-182 #A4A795
 34  43 121	lapaz-27 #222B79
 27  15 102	lapaz-3 #1B0F66
130 157 156	lapaz-158 #829D9C
152 164 151	lapaz-174 #98A497
119 153 159	lapaz-150 #77999F
247 223 211	lapaz-238 #F7DFD3
141 160 153	lapaz-166 #8DA099
 85 136 164	lapaz-123 #5588A4
 44  81 146	lapaz-63 #2C5192
 31  30 112	lapaz-15 #1F1E70
190 176 152	lapaz-198 #BEB098
 39  64 136	lapaz-47 #274088
 48  93 152	lapaz-75 #305D98
 47  89 150	lapaz-71 #2F5996
110 149 161	lapaz-143 #6E95A1
 99 144 162	lapaz-135 #6390A2
218 193 168	lapaz-214 #DAC1A8
241 213 196	lapaz-230 #F1D5C4
211 188 163	lapaz-210 #D3BCA3
253 236 232	lapaz-250 #FDECE8
 38  60 133	lapaz-43 #263C85
250 227 218	lapaz-242 #FAE3DA
 30  25 109	lapaz-11 #1E196D
 43  77 144	lapaz-59 #2B4D90
 28  20 105	lapaz-7 #1C1469
158 165 150	lapaz-178 #9EA596
236 208 189	lapaz-226 #ECD0BD
 90 139 163	lapaz-127 #5A8BA3
 37  56 130	lapaz-39 #253882
 77 129 163	lapaz-115 #4D81A3
124 155 158	lapaz-154 #7C9B9E
 41  73 141	lapaz-55 #29498D
