Scientific Colour Map Categorical Palette
nuuk 100 scrambled Swatches
  5  89 140	nuuk-1 #05598C
254 254 178	nuuk-256 #FEFEB2
161 166 152	nuuk-129 #A1A698
 83 119 133	nuuk-65 #537785
195 195 133	nuuk-193 #C3C385
125 143 145	nuuk-97 #7D8F91
 45 100 131	nuuk-33 #2D6483
181 181 145	nuuk-161 #B5B591
220 219 138	nuuk-224 #DCDB8A
188 188 139	nuuk-177 #BCBC8B
238 238 156	nuuk-240 #EEEE9C
104 131 139	nuuk-81 #68838B
 63 108 130	nuuk-49 #3F6C82
173 174 149	nuuk-145 #ADAE95
 28  94 135	nuuk-17 #1C5E87
145 155 150	nuuk-113 #919B96
205 205 131	nuuk-209 #CDCD83
200 199 131	nuuk-201 #C8C783
246 246 167	nuuk-248 #F6F6A7
167 170 151	nuuk-137 #A7AA97
 94 125 136	nuuk-73 #5E7D88
115 137 142	nuuk-89 #73898E
135 149 148	nuuk-105 #879594
185 185 142	nuuk-169 #B9B98E
 73 113 131	nuuk-57 #497183
229 229 146	nuuk-232 #E5E592
 54 104 130	nuuk-41 #366882
 37  97 133	nuuk-25 #256185
192 191 136	nuuk-185 #C0BF88
177 178 147	nuuk-153 #B1B293
 19  92 137	nuuk-9 #135C89
153 160 151	nuuk-121 #99A097
212 212 134	nuuk-217 #D4D486
233 233 151	nuuk-236 #E9E997
179 180 146	nuuk-157 #B3B492
186 186 140	nuuk-173 #BABA8C
202 202 131	nuuk-205 #CACA83
130 146 147	nuuk-101 #829293
120 140 144	nuuk-93 #788C90
197 197 132	nuuk-197 #C5C584
193 193 134	nuuk-189 #C1C186
 50 102 130	nuuk-37 #326682
 13  91 139	nuuk-5 #0D5B8B
 33  95 134	nuuk-21 #215F86
 59 106 130	nuuk-45 #3B6A82
 78 116 132	nuuk-61 #4E7484
175 176 148	nuuk-149 #AFB094
 24  93 136	nuuk-13 #185D88
157 163 152	nuuk-125 #9DA398
190 189 137	nuuk-181 #BEBD89
 68 111 130	nuuk-53 #446F82
110 134 140	nuuk-85 #6E868C
140 152 149	nuuk-109 #8C9895
 88 122 134	nuuk-69 #587A86
164 168 151	nuuk-133 #A4A897
242 242 161	nuuk-244 #F2F2A1
149 158 151	nuuk-117 #959E97
224 224 142	nuuk-228 #E0E08E
183 183 143	nuuk-165 #B7B78F
170 172 150	nuuk-141 #AAAC96
209 208 132	nuuk-213 #D1D084
250 250 173	nuuk-252 #FAFAAD
 99 128 137	nuuk-77 #638089
 41  98 132	nuuk-29 #296284
215 215 135	nuuk-220 #D7D787
 47 101 131	nuuk-35 #2F6583
 43  99 131	nuuk-31 #2B6383
240 240 158	nuuk-242 #F0F09E
 96 126 136	nuuk-75 #607E88
236 235 153	nuuk-238 #ECEB99
182 182 144	nuuk-163 #B6B690
210 210 133	nuuk-215 #D2D285
123 142 145	nuuk-95 #7B8E91
 75 115 131	nuuk-59 #4B7383
 66 109 130	nuuk-51 #426D82
169 171 151	nuuk-139 #A9AB97
 91 123 135	nuuk-71 #5B7B87
112 135 141	nuuk-87 #70878D
  9  90 140	nuuk-3 #095A8C
178 179 147	nuuk-155 #B2B393
248 248 170	nuuk-250 #F8F8AA
204 203 131	nuuk-207 #CCCB83
 16  91 138	nuuk-7 #105B8A
184 184 142	nuuk-167 #B8B88E
133 148 147	nuuk-103 #859493
 39  97 132	nuuk-27 #276184
171 173 150	nuuk-143 #ABAD96
151 159 151	nuuk-119 #979F97
166 169 151	nuuk-135 #A6A997
222 222 140	nuuk-226 #DEDE8C
 56 105 130	nuuk-43 #386982
155 162 152	nuuk-123 #9BA298
 31  95 134	nuuk-19 #1F5F86
142 154 150	nuuk-111 #8E9A96
194 194 134	nuuk-191 #C2C286
 52 103 130	nuuk-39 #346782
191 190 136	nuuk-183 #BFBE88
118 139 143	nuuk-91 #768B8F
186 185 141	nuuk-171 #BAB98D
 70 112 131	nuuk-55 #467083
